date,open,high,low,close,volume,ma5,volume_ma5,volatility_range_5d,volatility_range_20d,volume_ratio_5d,ma5_acceleration,close_acceleration,volume_ratio_5d_acceleration,up_days_20d,gap_up_ratio_20d
2019-06-11,5103.849,5289.791,5096.02,5289.624,155235649,5147.7606,118832648.6,0.0238291371301351,0.0215922315864719,1.3063383744187622,53.97199999999975,122.54799999999976,0.5309246889622796,0.35,0.4
2019-06-12,5276.703,5315.964,5251.051,5264.886,150031538,5168.5426,125016173.2,0.0217020917722478,0.021327452846665,1.20009702872588,13.871800000000803,-215.42399999999907,-0.561868160747406,0.3,0.4
2019-06-13,5256.905,5306.976,5237.958,5294.112,135168147,5195.6720000000005,130330391.2,0.0214179996769149,0.0211780706079624,1.0371191688711818,6.347400000000562,53.96399999999903,-0.0567365141618161,0.3,0.35
2019-06-14,5297.741,5307.082,5170.976,5173.068,132738265,5224.1256,134339532.2,0.021208842403336,0.0219391994000806,0.988080446806856,1.3241999999991094,-150.26999999999953,0.1139391377903723,0.3,0.35
2019-06-17,5168.35,5192.125,5140.265,5160.672,95764657,5236.472400000001,133787651.2,0.019671605832287,0.0203366206165339,0.7157959358808147,-16.106799999999566,108.64799999999924,-0.2232457888617153,0.3,0.35
2019-06-18,5160.112,5183.019,5125.096,5160.878,92008045,5210.723199999999,121142130.4,0.0145898449313717,0.0196790539851263,0.7595049277753166,-38.09600000000137,12.602000000000771,0.3159935028205431,0.3,0.35
2019-06-19,5268.935,5292.278,5231.965,5234.275,130878758,5204.601,117311574.4,0.0144285013233047,0.0189816117090114,1.1156508526067483,19.62700000000132,73.1909999999998,0.3124369329369297,0.35,0.35
2019-06-20,5228.491,5329.969,5199.869,5317.31,148037153,5209.240599999999,119885375.6,0.0167146036396092,0.0192837226050292,1.234822448185248,10.761799999999312,9.63800000000083,-0.2369743292529319,0.4,0.35
2019-06-21,5350.29,5423.189,5350.29,5406.04,167478108,5255.835,126833344.2,0.0141494502351516,0.0187328522959702,1.320458031414108,41.95480000000134,5.6949999999988,-0.0335360123496397,0.45,0.4
2019-06-24,5412.552,5427.667,5374.521,5403.798,130858165,5304.4602,133852045.8,0.0141066213821229,0.0183326260242155,0.9776329096645008,2.0307999999995445,-90.97199999999977,-0.4284607049784674,0.4,0.45
2019-06-25,5397.059,5397.059,5289.841,5351.689,134544718,5342.6224,142359380.4,0.0158688103645166,0.0176460058124053,0.9451060943223942,-10.463000000000648,-49.86699999999928,0.310298306407501,0.4,0.4
